Gene symbol	Ensembl ID	Gene tier	Gene category	Number of panels that carry the gene (n=10)	Mode of inheritance	ClinGen annotation	OMIM annotation	Gene function
DMD 	ENSG00000198947	Tier 1: Secondary	Structural	8	XL	Progressive muscular dystrophy (Definitive, XL)	Muscular dystrophy Duchenne type (XL); Muscular dystrophy Becker type (XL); Muscular dystrophy limb-girdle (AR); Muscular dystrophy-dystroglycanopathy (AR); Cardiomyopathy Dilated 3B (XL)	The encoded protein forms a component of the dystrophin-glycoprotein complex (DGC), which bridges the inner cytoskeleton and the extracellular matrix.
DOLK 	ENSG00000175283	Tier 1: Secondary	Dystroglycan	7	AR	N/A	Congenital disorder of glycosylation, type Im (AR)	The protein encoded by this gene catalyzes the CTP-mediated phosphorylation of dolichol, and is involved in the synthesis of Dol-P-Man, which is an essential glycosyl carrier lipid for C- and O-mannosylation, N- and O-linked glycosylation of proteins, and for the biosynthesis of glycosyl phosphatidylinositol anchors in endoplasmic reticulum.
DSC2 	ENSG00000134755	Tier 1: Primary	Desmosomal/ACM	10	AD, AR	Familial isolated arrythmogenic right ventricular dysplasia (Definitive, AD)	Arrhythmogenic right ventricular dysplasia 11 (AD, AR); Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair (AD, AR)	This gene encodes a muscle-A31:L32specific class III intermediate filament. Homopolymers of this protein form a stable intracytoplasmic filamentous network connecting myofibrils to each other and to the plasma membrane. Mutations in this gene are associated with desmin-related myopathy, a familial cardiac and skeletal myopathy (CSM), and with distal myopathies.
DSG2 	ENSG00000046604	Tier 1: Primary	Desmosomal/ACM	10	AD	DCM (Limited, AD); ACM (Definitive, AD)	Arrhythmogenic right ventricular dysplasia 10 (AD); Cardiomyopathy, dilated, 1BB	This gene encodes a member of the desmoglein family and cadherin cell adhesion molecule superfamily of proteins. Desmogleins are calcium-binding transmembrane glycoprotein components of desmosomes, cell-cell junctions between epithelial, myocardial, and other cell types. The encoded preproprotein is proteolytically processed to generate the mature glycoprotein.
DSP 	ENSG00000096696	Tier 1: Primary	Desmosomal/ACM	10	AD	DCM (Strong, AD); HCM (No known relationship, AD); ACM (Definitive, AD)	Arrhythmogenic right ventricular dysplasia 8 (AD); Cardiomyopathy, dilated, with woolly hair and keratoderma (AR); Dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis (AD); Epidermolysis bullosa, lethal acantholytic (AR); Keratosis palmoplantaris striata II (AD); Skin fragility-woolly hair syndrome (AR)	This gene encodes a protein that anchors intermediate filaments to desmosomal plaques and forms an obligate component of functional desmosomes. Mutations in this gene are the cause of several cardiomyopathies
DTNA 	ENSG00000134769	Tier 2: Primary	Dystroglycan	9	AD	DCM (Limited, AD)	Left ventricular noncompaction 1, with or without congenital heart defects (AD)	This protein is a component of the dystrophin-associated protein complex (DPC), which consists of dystrophin and several integral and peripheral membrane proteins, including dystroglycans, sarcoglycans, syntrophins and alpha- and beta-dystrobrevin.
EMD 	ENSG00000102119	Tier 1: Secondary	Structural	9	XLR	N/A	Emery-Dreifuss muscular dystrophy 1, X-linked (XLR)	It mediates membrane anchorage to the cytoskeleton. Dreifuss-Emery muscular dystrophy is an X-linked inherited degenerative myopathy resulting from mutation in the emerin gene.
EYA4	ENSG00000112319	Tier 2: Primary	Signaling	5	AD	DCM (Limited, AD); nonsyndromic genetic deafness (Definitive, AD)	?Cardiomyopathy, dilated, 1J (AD); Deafness, autosomal dominant 10 (AD)	The encoded protein may act as a transcriptional activator through its protein phosphatase activity.Defects in this gene are also associated with dilated cardiomyopathy 1J.
FHL1	ENSG00000022267	Tier 1: Secondary	Structural	6	XLR	N/A	Uruguay faciocardiomusculoskeletal syndrome (XLR); Emery-Dreifuss muscular dystrophy 6, X-linked (XLR); Myopathy, X-linked, with postural muscle atrophy (XLR); Reducing body myopathy, X-linked (XLD); Scapuloperoneal myopathy, X-linked dominant (XLD)	Involved in many cellular processes.
FHL2 	ENSG00000115641	Tier 2: Primary	Structural	5	AD	N/A	N/A	Have a role in the assembly of extracellular membranes.
FKRP	ENSG00000181027	Tier 1: Secondary	Dystroglycan	5	AR	Muscular dystrophy-dystroglycanopathy (Definitive, AR)	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5 (AR); Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5 (AR); Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5 (AR)	This gene encodes a protein which is targeted to the medial Golgi apparatus and is necessary for posttranslational modification of dystroglycan
FKTN	ENSG00000106692	Tier 1: Secondary	Dystroglycan	7	AR	Muscular dystrophy-dystroglycanopathy (Definitive, AR)	Cardiomyopathy, dilated, 1X (AR); Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4 (AR); Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4 (AR); Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4 (AR)	The protein encoded by this gene is a putative transmembrane protein that is localized to the cis-Golgi compartment, where it may be involved in the glycosylation of alpha-dystroglycan in skeletal muscle.
FLNC	ENSG00000128591	Tier 1: Primary	Cytoskeletal	5	AD	DCM (Definitive, AD); myofibrillar myopathy (Definitive, AD)	Cardiomyopathy, familial hypertrophic, 26 (AD); Cardiomyopathy, familial restrictive 5 (AD); Myopathy, distal, 4 (AD); Myopathy, myofibrillar, 5 (AD)	These filamin proteins crosslink actin filaments into orthogonal networks in cortical cytoplasm and participate in the anchoring of membrane proteins for the actin cytoskeleton.
GATAD1 	ENSG00000157259	Tier 2: Primary	Signaling	7	AR	DCM (Limited, AR)	?Cardiomyopathy, dilated, 2B (AR)	The protein encoded by this gene contains a zinc finger at the N-terminus, and is thought to bind to a histone modification site that regulates gene expression.
HCN4	ENSG00000138622	Tier 2: Secondary	Channel	7	AD	Familial thoracic aortic aneurysm and aortic dissection (Limited, AD); Brugada syndrome 1 (Disputed, AD)	Brugada syndrome 8; Sick sinus syndrome 2 (AD)	This gene encodes a member of the hyperpolarization-activated cyclic nucleotide-gated potassium channels. 
HRAS	ENSG00000174775	Tier 1: Secondary	RAS	8	AD	Costello syndrome (Definitive, AD); Noonan syndrome-like disorder with loose anagen hair (Disputed, AD)	Congenital myopathy with excess of muscle spindles (AD); Costello syndrome (AD)	This gene belongs to the Ras oncogene family, whose members are related to the transforming genes of mammalian sarcoma retroviruses. The products encoded by these genes function in signal transduction pathways.
ILK	ENSG00000166333	Tier 2: Primary	Structural	8	AD	DCM (Limited, AD)	N/A	This gene encodes a protein with a kinase-like domain and four ankyrin-like repeats. The encoded protein associates at the cell membrane with the cytoplasmic domain of beta integrins, where it regulates integrin-mediated signal transduction. 
JPH2	ENSG00000149596	Tier 1: Primary	Structural	8	AD	DCM (Moderate, AD); HCM (Moderate, AD)	Cardiomyopathy, hypertrophic, 17 (AD)	The protein encoded by this gene is a component of junctional complexes and is composed of a C-terminal hydrophobic segment spanning the endoplasmic/sarcoplasmic reticulum membrane and a remaining cytoplasmic domain that shows specific affinity for the plasma membrane. 
JUP 	ENSG00000173801	Tier 1: Primary	Desmosomal/ACM	10	AD, AR	ACM (Definitive, AD)	?Arrhythmogenic right ventricular dysplasia 12 (AD); Naxos disease (AR)	This gene encodes a major cytoplasmic protein which is the only known constituent common to submembranous plaques of both desmosomes and intermediate junctions. 
KRAS	ENSG00000133703	Tier 1: Secondary	RAS	8	AD	Noonan syndrome (Definitive, AD); cardiofaciocutaneous syndrome (Strong, AD); Costello syndrome (Disputed, AD)	Cardiofaciocutaneous syndrome 2 (AD); Noonan syndrome 3 (AD); RAS-associated autoimmune leukoproliferative disorder (AD)	This gene, a Kirsten ras oncogene homolog from the mammalian ras gene family, encodes a protein that is a member of the small GTPase superfamily. 
LAMA4 	ENSG00000112769	Tier 2: Primary	Structural	9	AD	DCM (Limited, AD)	Cardiomyopathy, dilated, 1JJ (AD)	This gene encodes the alpha chain isoform laminin, alpha 4. The domain structure of alpha 4 is similar to that of alpha 3, both of which resemble truncated versions of alpha 1 and alpha 2, in that approximately 1,200 residues at the N-terminus (domains IV, V and VI) have been lost. Laminin, alpha 4 contains the C-terminal G domain which distinguishes all alpha chains from the beta and gamma chains.
LAMP2 	ENSG00000005893	Tier 1: Secondary	Lysosomal	10	XL	Danon disease (Definitive, XL)	Danon disease (XL)	The protein encoded by this gene is a member of a family of membrane glycoproteins. This glycoprotein provides selectins with carbohydrate ligands. It may play a role in tumor cell metastasis. It may also function in the protection, maintenance, and adhesion of the lysosome.
LDB3 	ENSG00000122367	Tier 2: Primary	Z disc	10	AD	DCM (Limited, AD); ACM (Disputed, AD)	Cardiomyopathy, dilated, 1C, with or without LVNC (AD); Cardiomyopathy, hypertrophic, 24 (AD); Left ventricular noncompaction 3 (AD); Myopathy, myofibrillar, 4 (AD)	This gene encodes a PDZ domain-containing protein. PDZ motifs are modular protein-protein interaction domains consisting of 80-120 amino acid residues. PDZ domain-containing proteins interact with each other in cytoskeletal assembly or with other proteins involved in targeting and clustering of membrane proteins. 
LMNA 	ENSG00000160789	Tier 1: Primary	Structural	9	AD, AR	DCM (Definitive, AD); ACM (Limited, AD)	Cardiomyopathy, dilated, 1A (AD); Charcot-Marie-Tooth disease, type 2B1 (AR); Emery-Dreifuss muscular dystrophy 2, autosomal dominant (AD); Emery-Dreifuss muscular dystrophy 3, autosomal recessive (AR); Heart-hand syndrome, Slovenian type (AD); Hutchinson-Gilford progeria (AD); Lipodystrophy, familial partial, type 2 (AD); Malouf syndrome (AD); Mandibuloacral dysplasia (AR); Muscular dystrophy, congenital (AD); Restrictive dermopathy, lethal (AR)	Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. 
MAP2K1	ENSG00000169032	Tier 1: Secondary	RAS	7	AD	Cardiofaciocutaneous syndrome (Definitive, AD); Noonan syndrome with multiple lentigines (Limited, AD); Noonan syndrome (Limited, AD); Costello syndrome (Disputed, AD)	Cardiofaciocutaneous syndrome 3 (AD)	The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. 
MAP2K2	ENSG00000126934	Tier 1: Secondary	RAS	8	AD	Cardiofaciocutaneous syndrome (Definitive, AD); Noonan syndrome (Limited, AD)	Cardiofaciocutaneous syndrome 4 (AD)	The protein encoded by this gene is a dual specificity protein kinase that belongs to the MAP kinase kinase family. This kinase is known to play a critical role in mitogen growth factor signal transduction. It phosphorylates and thus activates MAPK1/ERK2 and MAPK2/ERK3.
MYBPC3 	ENSG00000134571	Tier 1: Primary	Sarcomere	9	AD	DCM (Limited, AD); HCM (Definitive, AD); ACM (Limited, AD)	Cardiomyopathy, dilated, 1MM (AD); Cardiomyopathy, hypertrophic, 4 (AD, AR); Left ventricular noncompaction 10 (AD)	Regulatory phosphorylation of the cardiac isoform in vivo by cAMP-dependent protein kinase (PKA) upon adrenergic stimulation may be linked to modulation of cardiac contraction.
MYH6 	ENSG00000197616	Tier 2: Primary	Cytoskeletal	10	AD	DCM (Limited, AD); HCM (Limited, AD)	{Sick sinus syndrome 3}; Atrial septal defect 3; Cardiomyopathy, dilated, 1EE (AD); Cardiomyopathy, hypertrophic, 14 (AD)	This gene encodes the alpha heavy chain subunit of cardiac myosin. The gene is located approximately 4kb downstream of the gene encoding the beta heavy chain subunit of cardiac myosin.
MYH7 	ENSG00000092054	Tier 1: Primary	Sarcomere	10	AD	DCM (Definitive, AD); HCM (Definitive, AD); ACM (Definitive, AD); MYH7-related skeletal myopathy (Definitive, AD)	Cardiomyopathy, dilated, 1S (AD); Cardiomyopathy, hypertrophic, 1 (AD, DD); Laing distal myopathy (AD); Left ventricular noncompaction 5 (AD); Myopathy, myosin storage, autosomal dominant (AD); Myopathy, myosin storage, autosomal recessive (AR); Scapuloperoneal syndrome, myopathic type (AD)	Changes in the relative abundance of this protein and the alpha (or fast) heavy subunit of cardiac myosin correlate with the contractile velocity of cardiac muscle. Its expression is also altered during thyroid hormone depletion and hemodynamic overloading. Mutations in this gene are associated with familial hypertrophic cardiomyopathy, myosin storage myopathy, dilated cardiomyopathy, and Laing early-onset distal myopathy.
MYL2 	ENSG00000111245	Tier 1: Primary	Sarcomere	10	AD	DCM (Limited, AD); HCM (Definitive, AD); ACM (No known relationship, AD)	Cardiomyopathy, hypertrophic, 10 (AD)	The gene encodes the regulatory light chain associated with cardiac myosin beta (or slow) heavy chain. Ca+ triggers the phosphorylation of regulatory light chain that in turn triggers contraction. Mutations in this gene are associated with mid-left ventricular chamber type hypertrophic cardiomyopathy.
MYL3 	ENSG00000160808	Tier 1: Primary	Sarcomere	10	AD	DCM (Disputed, AD); HCM (Definitive, AD); ACM (Limited, AD)	Cardiomyopathy, hypertrophic, 8 (AD, AR)	MYL3 encodes myosin light chain 3, an alkali light chain also referred to in the literature as both the ventricular isoform and the slow skeletal muscle isoform. Mutations in MYL3 have been identified as a cause of mid-left ventricular chamber type hypertrophic cardiomyopathy.
MYLK2 	ENSG00000101306	Tier 2: Primary	Structural	9	AD	HCM (Limited, AD)	Cardiomyopathy, hypertrophic, 1, digenic (AD, DD)	This gene encodes a myosin light chain kinase, a calcium/calmodulin dependent enzyme
MYOM1	ENSG00000101605	Tier 2: Primary	Structural	3	AD	HCM (Limited, AD)	N/A	The giant protein titin, together with its associated proteins, interconnects the major structure of sarcomeres, the M bands and Z discs.
MYOZ2 	ENSG00000172399	Tier 2: Primary	Z disc	9	AD	HCM (Limited, AD)	Cardiomyopathy, hypertrophic, 16 (AD)	The protein encoded by this gene belongs to a family of sarcomeric proteins that bind to calcineurin, a phosphatase involved in calcium-dependent signal transduction in diverse cell types
MYPN 	ENSG00000138347	Tier 2: Primary	Structural	8	AD, AR	DCM (Limited, AD); HCM (Limited, AD); MYPN-realted myopathy (Definitive, AR)	Cardiomyopathy, dilated, 1KK (AD); Cardiomyopathy, familial restrictive, 4 (AD); Cardiomyopathy, hypertrophic, 22 (AD); Nemaline myopathy 11, autosomal recessive (AR)	This gene encodes a protein which interacts with nebulin in skeletal muscle or nebulette in cardiac muscle and alpha-actinin. In addition, this gene product can interact with a protein with the I-band indicating it has a regulatory as well as structural function. Alternative splicing results in multiple transcript variants.
NEBL 	ENSG00000078114	Tier 2: Primary	Structural	6	AD	DCM (Limited, AD)	N/A	This gene encodes a nebulin like protein that is abundantly expressed in cardiac muscle. The encoded protein binds actin and interacts with thin filaments and Z-line associated proteins in striated muscle. This protein may be involved in cardiac myofibril assembly.
NEXN 	ENSG00000162614	Tier 1: Primary	Structural	9	AD	DCM (Moderate, AD); HCM (Limited, AD)	Cardiomyopathy, dilated, 1CC (AD); Cardiomyopathy, hypertrophic, 20 (AD)	This gene encodes a filamentous actin-binding protein that may function in cell adhesion and migration. Mutations in this gene have been associated with dilated cardiomyopathy, also known as CMD1CC. Alternatively spliced transcript variants have been described.
NF1	ENSG00000196712	Tier 1: Secondary	RAS	4	AD	Neurofibromatosis type 1 (Definitive, AD); familial ovarian cancer (No Known Disease Relationship, AD)	Neurofibromatosis-Noonan syndrome (AD); Watson syndrom (AD)	This gene product appears to function as a negative regulator of the ras signal transduction pathway.
NRAS	ENSG00000213281	Tier 1: Secondary	RAS	8	AD	Noonan syndrome (Definitive, AD); Costello syndrome (Limited, AD); cardiofaciocutaneous syndrome (Limited, AD); Noonan syndrome with multiple lentigines (Limited, AD)	RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic; Noonan syndrome 6 (AD)	The encoded protein, which has intrinsic GTPase activity, is activated by a guanine nucleotide-exchange factor and inactivated by a GTPase activating protein. 
PDLIM3 	ENSG00000154553	Tier 2: Primary	Cytoskeletal	6	AD	DCM (Disputed, AD); HCM (Limited, AD)	N/A	The protein encoded by this gene contains a PDZ domain and a LIM domain, indicating that it may be involved in cytoskeletal assembly.
PKP2 	ENSG00000057294	Tier 1: Primary	Desmosomal/ACM	8	AD	DCM (Disputed, AD); ACM (Definitive, AD); Brugada syndrome 1 (Disputed, AD); catecholaminergic polymorphic ventricular tachycardia (Disputed, AD)	Arrhythmogenic right ventricular dysplasia 9 (AD)	This gene product may regulate the signaling activity of beta-catenin.
PLEKHM2	ENSG00000116786	Tier 2: Primary	Lysosomal	2	AR	DCM (Limited, AR)	N/A	This gene encodes a protein that binds the plus-end directed microtubule motor protein kinesin, together with the lysosomal GTPase Arl8, and is required for lysosomes to distribute away from the microtubule-organizing center
PLN	ENSG00000198523	Tier 1: Primary	Cytoskeletal	10	AD	ACM (Moderate, AD); intrinsic cardiomyopathy (Definitive, AD)	Cardiomyopathy, dilated, 1P; Cardiomyopathy, hypertrophic, 18 (AD)	The protein encoded by this gene is found as a pentamer and is a major substrate for the cAMP-dependent protein kinase in cardiac muscle. The encoded protein is an inhibitor of cardiac muscle sarcoplasmic reticulum Ca(2+)-ATPase in the unphosphorylated state, but inhibition is relieved upon phosphorylation of the protein. The subsequent activation of the Ca(2+) pump leads to enhanced muscle relaxation rates, thereby contributing to the inotropic response elicited in heart by beta-agonists. The encoded protein is a key regulator of cardiac diastolic function. 
PRDM16 	ENSG00000142611	Tier 1: Primary	Signaling	7	AD	DCM (Limited, AD)	Cardiomyopathy, dilated, 1LL (AD); Left ventricular noncompaction 8 (AD)	The protein encoded by this gene is a zinc finger transcription factor and contains an N-terminal PR domain. Truncating variants in this gene are associated with LVNC.
PRKAG2 	ENSG00000106617	Tier 1: Primary	Metabolic	10	AD	HCM (Definitive, AD)	Cardiomyopathy, hypertrophic 6 (AD); Glycogen storage disease of heart, lethal congenital (AD); Wolff-Parkinson-White syndrome (AD)	It is an important energy-sensing enzyme that monitors cellular energy status and functions by inactivating key enzymes involved in regulating de novo biosynthesis of fatty acid and cholesterol.
PTPN11 	ENSG00000179295	Tier 1: Secondary	RAS	9	AD	Noonan syndrome with multiple lentigines (Definitive, AD); Noonan syndrome (Definitive, AD); Costello syndrome (Disputed, AD); cardiofaciocutaneous syndrome (Disputed, AD)	LEOPARD syndrome 1 (AD); Noonan syndrome 1 (AD)	It is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration.
RAF1 	ENSG00000132155	Tier 1: Secondary	RAS	9	AD	Noonan syndrome with multiple lentigines (Limited, AD); Noonan syndrome (Definitive, AD); Costello syndrome (Disputed, AD); cardiofaciocutaneous syndrome (Disputed, AD)	Cardiomyopathy, dilated, 1NN (AD); LEOPARD syndrome 2 (AD); Noonan syndrome 5 (AD)	It is has an important role in the control of gene expression involved in the cell division cycle, apoptosis, cell differentiation and cell migration.
RBM20 	ENSG00000203867	Tier 1: Primary	Signaling	10	AD	DCM (Definitive, AD)	Cardiomyopathy, dilated, 1DD (AD)	This gene encodes a protein that binds RNA and regulates splicing. Mutations in this gene have been associated with familial dilated cardiomyopathy.
RIT1	ENSG00000143622	Tier 1: Secondary	RAS	5	AD	Noonan syndrome (Definitive, AD)	Noonan syndrome 8 (AD)	This gene encodes a member of a subfamily of Ras-related GTPases. The encoded protein is involved in regulating p38 MAPK-dependent signaling cascades related to cellular stress.
RRAS	ENSG00000126458	Tier 2: Secondary	RAS	3	AD	Noonan syndrome (Definitive, AD)	N/A	The protein encoded by this gene is a small GTPase involved in diverse processes including angiogenesis, vascular homeostasis and regeneration, cell adhesion, and neuronal axon guidance.
RYR2 	ENSG00000198626	Tier 2: Primary	Channel/ACM	10	AD	HCM (Limited, AD); ACM (Refuted, AD); catecholaminergic polymorphic ventricular tachycardia (Definitive, AD)	Arrhythmogenic right ventricular dysplasia 2 (AD); Ventricular arrythmias due to cardiac ryanodine receptor calcium release deficiency syndrome (AD); Ventricular tachycardia, catecholaminergic polymorphic, 1 (AD)	This gene encodes a ryanodine receptor found in cardiac muscle sarcoplasmic reticulum. The encoded protein is one of the components of a calcium channel, composed of a tetramer of the ryanodine receptor proteins and a tetramer of FK506 binding protein 1B proteins, that supplies calcium to cardiac muscle.
SCN5A 	ENSG00000183873	Tier 1: Primary	Channel	9	AD	DCM (Definitive, AD); ACM (Limited, AD); Brugada syndrome (Definitive, AD); familial long QT syndrome (Definitive, AD); catecholaminergic polymorphic ventricular tachycardia (Disputed, AD); short QT syndrome (Disputed, AD)	{Sudden infant death syndrome, susceptibility to} (AR); Atrial fibrillation, familial, 10 (AD); Brugada syndrome 1 (AD); Cardiomyopathy, dilated, 1E (AD); Heart block, nonprogressive (AD); Heart block, progressive, type IA (AD); Long QT syndrome 3 (AD); Sick sinus syndrome 1 (AR); Ventricular fibrillation, familial, 1	The protein encoded by this gene is an integral membrane protein and tetrodotoxin-resistant voltage-gated sodium channel subunit.
SGCD 	ENSG00000170624	Tier 1: Secondary	Structural	10	AD, AR	DCM (Limited, AD); autosomal recessive limb-girdle muscular dystrophy (Definitive, AR)	Cardiomyopathy, dilated, 1L; Muscular dystrophy, limb-girdle, autosomal recessive 6 (AR)	The protein encoded by this gene is one of the four known components of the sarcoglycan complex, which is a subcomplex of the dystrophin-glycoprotein complex (DGC). DGC forms a link between the F-actin cytoskeleton and the extracellular matrix. This protein is expressed most abundantly in skeletal and cardiac muscle. 
SHOC2	ENSG00000108061	Tier 1: Secondary	RAS	7	AD	Noonan syndrome-like disorder with loose anagen hair (Definitive, AD); Costello syndrome (Disputed, AD); cardiofaciocutaneous syndrome (Disputed, AD); Noonan syndrome (Disputed, AD)	Noonan syndrome-like with loose anagen hair 1 (AD)	The protein may function as a scaffold linking RAS to downstream signal transducers in the RAS/ERK MAP kinase signaling cascade.
